Essa foi sua primeira Python Brasil?,Quais atividades você participou?,Quais dias você participou?,Avalie a sua satisfação em geral com... [Python Brasil 2020],Avalie a sua satisfação em geral com... [Rodas de conversa],Avalie a sua satisfação em geral com... [Palestras],Avalie a sua satisfação em geral com... [Keynotes],Avalie a sua satisfação em geral com... [Tutoriais],Avalie a sua satisfação em geral com... [Sprints],O que você achou dos... [Temas das palestras?],O que você achou dos... [Níveis das palestras?],O que você achou dos... [Temas dos tutoriais?],O que você achou dos... [Níveis dos tutoriais?],Qual a chance de você participar da Python Brasil 2021? [Se for online],Qual a chance de você participar da Python Brasil 2021? [Se for presencial],"Se a Python Brasil 2021 for online, qual seria o maior impeditivo para você participar do evento?","Se a Python Brasil 2021 for presencial, qual seria o maior impeditivo para você participar do evento?","Se escolheu alguma das opções acima, detalhe os motivos abaixo.",Como podemos melhorar na próxima edição da Python Brasil?,Você têm algum outro comentário sobre a Python Brasil 2020?
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Alta,Alta,Alta,Muito alta,Muito alta,Excelente,Bom,Excelente,Bom,,Alta,,Dificuldade em liberação pela empresa,Localidade do evento e o horário de trabalho,"Nada melhoras, sempre manter o mesmo nível deste que aconteceu.",Foi excelente todo o evento.
Sim,"Palestras à tarde, Palestras à noite, Tutoriais, Sprints","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,,,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Muito alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso","Atualmente estou desempregado e o custo de deslocamento e estadia estariam fora do meu orçamento, embora saiba que o evento presencial deve ser bem mais interessante que o virtual.","Achei que algumas palestras poderiam ter um tempo um pouco maior, logo, repensar o tempo seria uma sugestão.",Fiquei bastante contente com o evento e quero muito poder fazer parte de uma futura versão presencial.
Sim,"Palestras à tarde, Keynotes",Quinta-feira,Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,,"Insegurança relacionada a pandemia COVID-19, Não ter ninguém com quem deixar os filhos","O evento online permite que muito mais pessoas possam participar. Não é só o fato de o evento envolver deslocamento quando é presencial, mas online se torna mais acessível para todos, tanto pelos custos quanto pela possibilidade de participar das atividades.","Tudo estava ótimo. Mas, gostaria de dar uma sugestão. Como o evento é feito pela comunidade é comum que muitas pessoas acabem se envolvendo mais e sendo convidadas para estas ou aquelas sessões. Porém, há que se tomar cuidado para que não se crie uma bolha também de palestrantes ou keynotes. A comunidade é gigante, ela está tanto nas empresas, quanto na academia e nos hobbystas. Logo, penso que é legal convidar keynotes para além da bolha da comunidade. Acaba que quem participa dos eventos pode ver os mesmos keynotes com frequência. ","Foi minha primeira Python Brasil e me sinto muito feliz por ter participado! O evento é muito bem organizado, não me senti perdido em nenhum momento. Agradeço aqui pelo empenho da comunidade em criar um espaço tão legal para compartilhar aprendizados."
Não,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira",Muito alta,Média,Muito alta,Não se aplica,Não se aplica,Não se aplica,Bom,Excelente,Não se aplica,Não se aplica,Alta,Muito alta,,"Custo do transporte, Custo da estadia",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quinta-feira",Muito alta,Muito alta,Alta,Alta,Não se aplica,Não se aplica,Excelente,Excelente,Bom,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa, Acessibilidade do evento",,,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Alta,Muito alta,,Muito alta,Excelente,Excelente,,,Muito alta,Baixa,,"Insegurança relacionada a pandemia COVID-19, Não estou morando no Brasil",,Seria ótimo ter um jeito de fazer palestras relâmpago. Elas fazem muita falta no evento.,Foi incrível! Parabéns e obrigado a todas as pessoas da organização!
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Quarta-feira, Quinta-feira, Domingo",,Muito alta,Alta,Muito alta,Média,,Bom,Bom,Excelente,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,,,,Excelente,Excelente,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa","Moro no Ceará e as passagens são muito caras para ir para o eixo sul-sudeste, além da dificuldade da empresa em disponibilizar vários dias para que eu possa viajar.",O evento foi maravilhoso.,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Média,Média,Média,Não se aplica,Não se aplica,Bom,Bom,Excelente,Não se aplica,Muito alta,Muito alta,,Insegurança relacionada a pandemia COVID-19,,"Acredito que o cronograma demorou muito para ser liberado, e todos os avisos demoraram muito também. A própria inscrição dos tutoriais, de início não estava explícito que seria para se inscrever apenas em 1 tutorial (até pq essa limitação não existe na PyBR presencial, isso é só um exemplo, eu mesmo não tinha disponibilidade para participar dos tutoriais, mas acredito que pessoas possam ter sido prejudicadas por isso). Nesse aspecto, acredito que houve uma falha de comunicação. Mas de forma nenhuma isso retirou a beleza do evento. Foi maravilhoso!",Obrigado a todos da organização por cooperarem fazendo esse evento tão maravilhoso!
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Quarta-feira",Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa","Não consigo liberação na empresa, mesmo trabalhando com Python",Os tutoriais terem gravação pois foram poucas vagas e não consegui participar e tampouco assistir depois os tutoriais,Amei conhecer as pyladies
Não,Keynotes,"Segunda-feira, Terça-feira, Sexta-feira",Alta,Muito alta,Alta,Alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa",,,
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Quarta-feira",Muito alta,,Alta,Muito alta,,,Bom,Bom,,,Muito alta,Alta,Horários das atividades incompatíveis com agenda,,,,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Sábado, Domingo",Muito alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",,,
Não,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Não se aplica,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,"Caso não se tenha uma vacina até a data do evento de 2021 seria melhor continuar com o evento online, caso tenhamos uma vacina ou forma segura de nos encontrar acho que seria legal ter o evento presencial (colocando as palestas futuramente no youtube para que todos possam ter acesso)  ","A organização foi muito boa, acho que o que valeria a pena seria liberar os tutorias para todo mundo no youtube, e restringir apenas as pessoas que teriam contato com o palestrante em uma sala do discord (assim mais gente poderia aproveitar esses conhecimentos no futuro e o tutorial não ficaria lotado com o tutor super preocupado tendo que atender todo mundo).","Quero parabenizar todo mundo da organização, o evento foi muito bom! Irei até me cadastrar na apyb para ajudar na continuação dessa comunidade! Valeu pelo esforço de manter o evento do Python Brasil em alto nível e Obrigado pelos Peixes!"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Indiferente,Ruim,Ruim,Ruim,Baixa,Média,Ferramentas utilizadas no evento,Custo do transporte,,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira",Alta,,Alta,Alta,Baixa,Baixa,Excelente,Bom,Bom,Bom,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo da estadia, Dificuldade em liberação pela empresa",Trampo dificulta,"Caso as sprints sejam ainda online, para evitar o problema dos múltiplos inscritos poderiam ter feito um forms com ordem de interesse para cada uma e data de inscrição, a partir disso formar uma fila pra realizar as inscrições. Eu estava trabalhando quando enviaram o e-mail de inscrição e acabei perdendo por isso, sei que também foram prejudicados então tentei pensar numa solução ao futuro, essa pode estar errada nem ter lógica alguma. ",Mandaram bem algum dia vou ser um speaker.
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,,,,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa",A escolha de um local acessível ajuda bastante.,Aumentar o acesso aos tutoriais.,O sistema de divisão dos assuntos em trilhas foi espetacular.
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,nenhum,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa","Mesmo com todos os cuidados, ainda é preciso ver como vai estar a pandemia próximo ano (pro caso de evento presencial)","Convidar voluntários com mais antecedência, para facilitar pros organizadores e deixar mais claro que quem faz o evento é a comunidade e não um pequeno grupo de pessoas","- Surgiram problemas que não foram previstos, mas o time trabalhou para solucionar rápido.
- Mesmo com muita procura pelos tutoriais, a maior parte estava bem vazia porque os inscritos simplesmente não apareceram, tirando a vaga de quem gostaria de participar"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Alta,Baixa,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte",,"Nome das trilhas mais claras, uso de badges nas palestras","Excelente, resultado fantástico e que venham mais conferências como esta"
Não,"Palestras à tarde, Palestras à noite, Keynotes","Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,,,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,,Custo da estadia,,"Infelizmente , esgotou rapido, nesta edicao de 2020, as vagas para os tutoriais, que acabei nao conseguindo me inscrever, vagas esgotadas. (",Foi Sensacional ! Parabéns !
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Média,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso","No momento, encontro-me desempregada, assim custeio de evento para mim é alto nesse momento.",Considero que evento foi bem organizado na versão online.,Que foi uma ótima experiência!
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Alta,Média,Muito alta,Não se aplica,Não se aplica,Indiferente,Bom,Ruim,Não se aplica,Muito alta,Baixa,,Custo do transporte,,Não colocar palestras e tutoriais de temas semelhantes no mesmo horário. Tutoriais mais arroz com feijão das ferramentas básicas para desenvolvedores.,
Sim,"Rodas de conversa, Palestras à tarde, Keynotes","Segunda-feira, Terça-feira, Sexta-feira, Sábado",Muito alta,Alta,Alta,Muito alta,,,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Ferramentas utilizadas no evento,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,,"Não tinha vagas para os tutorias,  fora isso muito bom",
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Média,Média,Média,Alta,Média,Média,Bom,Bom,Bom,Bom,Alta,Alta,Horários das atividades incompatíveis com agenda,Custo do ingresso,,,
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa, Acessibilidade do evento",Acredito que teremos um ano complexo economicamente,Mais vagas aos tutoriais,Seria maravilhoso se fosse sempre oferecido a opção de participação online
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Baixa,Conectividade,,,,
Sim,Palestras à noite,"Sábado, Domingo",Muito alta,Alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",Moro em uma cidade de interior e os custos podem ser um impedimento para a participação.,,
Sim,"Palestras à tarde, Keynotes","Terça-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia",,,
Sim,Palestras à tarde,,Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Média,Média,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa,,"No caso de ser um evento online, estabelecer uma duração mínima para as palestras e ter ao término das palestras, quando possível, abrir espaço para o palestrante responder dúvidas dos participantes dentro da apresentação ao invés de pedir para ir para o discord.",
Sim,"Rodas de conversa, Palestras à tarde, Tutoriais","Quarta-feira, Quinta-feira",Muito alta,Muito alta,Muito alta,,Muito alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa","Dependendo da cidade, fica complicado pelo custo da viagem",,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso","sou estudante no interior de Minas Gerais, então a renda é alta e o deslocamento para qualquer grande centro é caro","se for online, poderia aumentar o número de vagas para os tutoriais",vocês estão de parabéns! o evento foi muito enriquecedor e divertido
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Sexta-feira, Sábado",Não se aplica,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,,"Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa,"Dificuldade em liberação pela empresa, pois trabalho e não pude acompanhar de forma imersiva todo o evento.",Permanece em edição virtual e com maior capacidade de curso.,"Venda de mimos, camisa :)"
Sim,"Rodas de conversa, Palestras à tarde, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quinta-feira, Sexta-feira, Domingo",Alta,Média,Alta,Média,Média,Não se aplica,Excelente,Bom,Bom,Indiferente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",Acho que só não participaria presencialmente se não estivesse livre de obrigações.,Acho que os tutoriais podiam ter um repositorio proprio em alguma conta da python brasil no github,"Adorei. Queria poder ter interagido mais com o pessoal no discord, infelizmente estive sobrecarregado. Mas curti msm. Me deu um gás no projeto programador/analista/data scientist."
Sim,Tutoriais,Sábado,Média,Não se aplica,Não se aplica,Não se aplica,Média,Não se aplica,Não se aplica,Não se aplica,Bom,Não se aplica,Muito alta,Média,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos",,Preparando melhor os apresentadores de tutoriais no uso da ferramenta utilizada para transmissão.,"Parabéns pela persistência de organizar o evento, mesmo online, no ano da pandemia."
Não,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Terça-feira, Quarta-feira, Sexta-feira, Sábado",,,Muito alta,Muito alta,Média,Alta,Excelente,Excelente,Bom,Bom,Muito alta,Muito baixa,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa",,"O evento foi muito bom! A integracao com Event Brite dos horarios dos tutoriais poderia ser melhor. Sei que foi feito simples para facilitar o trabalho, mas ficou confuso quantos os horarios e detalhes da programacao.",Sensacional!
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Não se aplica,Alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso","Além da insegurança com o Covid (que creio ser auto explicativa), os custos de transporte para quem mora no norte do País (no meu caso no Pará) sempre são muitos altos, de modo que baseado na minha renda, torna a participação bem complicada.","Evolução na organização desse tipo de evento vem com a experiência. Então, somente deem continuidade ao excelente trabalho que foi feito.
Eu só tenho uma observação a fazer: na próxima oportunidade, orientem os ministradores das palestras a não ir tão rápido com o conteúdo, esperar que todos estejam no mesma etapa do tutorial para só assim dar prosseguimento.","Sem mais comentários. Evento excelente, vai deixar saudades."
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,,,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,,,
Sim,Palestras à noite,Sábado,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,Acessibilidade do evento,Dificuldade em me deslocar até a cidade do evento.,Se o evento for presencial disponibilizar as palestras online também.,não
Sim,"Rodas de conversa, Palestras à tarde, Keynotes","Sexta-feira, Sábado, Domingo",Alta,Muito alta,Média,Alta,,,Excelente,Bom,Excelente,,Muito alta,Alta,,"Custo do transporte, Custo da estadia, Custo do ingresso","Dependendo do lugar o custo pode ser muito alto. A próxima será no sul e eu moro no sudeste, acredito que pra quem mora no norte e nordeste será ainda mais custoso. ",A edição foi excelente.,"Só achei o visual das chamadas e dos intervalos entre as palestras muito poluídos, usar uma logomarca mais limpa e sem aqueles ruídos desagradáveis seria melhor."
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quinta-feira",Muito alta,Não se aplica,Alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,,
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Alta,Alta,,Insegurança relacionada a pandemia COVID-19,,,
Sim,"Palestras à tarde, Keynotes, Sprints","Segunda-feira, Terça-feira, Quinta-feira, Domingo",Muito alta,Não se aplica,Alta,Alta,Não se aplica,Alta,Bom,Bom,Bom,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Alta,Muito alta,Alta,Muito alta,Alta,Não se aplica,Bom,Bom,Bom,Bom,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa","As incertezas sobre a data de liberação de uma vacina é um impeditivo para mim pois não me sentiria segura em ir em um evento deste tamanho mesmo com medidas de higienização.

A localidade do evento também é um impeditivo pois em regiões muito extremas os preços de transporte e hospedagem podem ser muito elevados.",,
Sim,Palestras à noite,"Segunda-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",,,
Sim,"Palestras à tarde, Keynotes","Quinta-feira, Sábado, Domingo",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",A logística envolvida para participar de um evento fora da minha cidade,Manter o evento online,Excelente Evento!
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,,"Horários das atividades incompatíveis com agenda, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso","pelo covid por causa de ser um virus novo , e as vacinas não ter seu respow sufiente , dependo do lugar tem o custo de transporte e da estadia , visto que se não for perto de onde eu moro , ja vai ser um valor a calcular , e sobre o custo do ingresso pq iria somar com o transporte , estadia e outras coisas ",nenhum ponto foram otimos,"particulamente nao conseguir ver no mesmo tempo , mas eu peguei os videos e irei ver no decorrer do tempo , mas os que eu assistir ate agora foram exerlentes para mim uma grande fonte de aprendizagem "
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Média,Baixa,Alta,Alta,Alta,Alta,Bom,Bom,Bom,Bom,Baixa,Baixa,,,,,"Infelizmente a linguagem de programação foi deixada de lado por diversas vezes para servir de pauta identitária de grupos ditos de ""minoria"", não é a toa que a linguagem vem perdendo espaço para o Julia, onde a comunidade é mais focada em fazer a linguagem crescer e não fazer politicagem.
O formulário de inscrição é completamente panfletario e desnecessário isso sem contar com alguns temas de paletras... enfim, estou bastante insatisfeito com o evento, achava que iria conhecer mais sobre a linguagem e nao tentar ser doutrinado"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Alta,Muito alta,Muito alta,Não se aplica,Média,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito alta,,,,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Sábado, Domingo",Muito alta,Média,Muito alta,Muito alta,Muito baixa,Alta,Excelente,Bom,Excelente,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa",Seria perfeito que pudesse ter presencial com transmissão online simultânea pra quem não puder viajar.,"Aumentar o número de pessoas por tutorial, cabia mais, ficou muita gente de fora.","Essa foi minha primeira PyBr, me associei agora à Associação como forma de agradecimento por esse evento tão intenso. Gostaria de ajudar de alguma forma na organização da próxima. Como proceder?"
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Alta,Alta,Alta,Alta,Alta,Bom,Bom,Bom,Bom,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso",Custos financeiros,Individualizar cada palestra caso for online.,Não
